Date,ActualBooking,state_code,forecast_avg_bqfb,State,Division,Model_creation_date
18-12-2020,75,NV,85,Nevada,Category C,11-10-2023
02-03-2020,23,DE,14,Delaware,Category E,11-10-2023
16-09-2021,77,CO,71,Colorado,Category A,11-10-2023
19-12-2020,41,NY,50,New York,Category A,11-10-2023
23-07-2020,50,AZ,41,Arizona,Category I,11-10-2023
07-10-2019,70,IN,73,Indiana,Category E,11-10-2023
08-05-2020,71,KS,75,Kansas,Category G,11-10-2023
15-01-2021,16,FL,25,Florida,Category G,11-10-2023
01-05-2019,19,SD,24,South Dakota,Category D,11-10-2023
07-02-2020,13,SC,10,South Carolina,Category C,11-10-2023
09-09-2021,81,VA,80,Virginia,Category C,11-10-2023
14-09-2020,94,HI,88,Hawaii,Category C,11-10-2023
16-09-2019,18,NY,12,New York,Category A,11-10-2023
24-12-2021,10,MD,4,Maryland,Category D,11-10-2023
28-09-2020,92,TN,92,Tennessee,Category B,11-10-2023
12-08-2021,38,ME,38,Maine,Category D,11-10-2023
03-08-2020,57,PA,62,Pennsylvania,Category I,11-10-2023
14-01-2021,36,IA,38,Iowa,Category H,11-10-2023
11-05-2019,31,NC,21,North Carolina,Category C,11-10-2023
11-02-2019,7,WA,12,Washington,Category J,11-10-2023
08-11-2020,38,WA,45,Washington,Category H,11-10-2023
07-10-2019,8,WA,16,Washington,Category D,11-10-2023
15-06-2019,85,ME,78,Maine,Category B,11-10-2023
28-01-2021,15,MA,9,Massachusetts,Category J,11-10-2023
27-04-2021,77,WI,76,Wisconsin,Category E,11-10-2023
24-10-2021,81,WI,84,Wisconsin,Category G,11-10-2023
29-09-2019,90,VT,88,Vermont,Category J,11-10-2023
01-02-2021,54,MT,44,Montana,Category H,11-10-2023
06-12-2019,71,NH,79,New Hampshire,Category D,11-10-2023
18-09-2019,45,AZ,48,Arizona,Category J,11-10-2023
24-06-2019,68,PA,58,Pennsylvania,Category A,11-10-2023
25-12-2021,96,PA,87,Pennsylvania,Category H,11-10-2023
19-06-2020,19,OK,15,Oklahoma,Category F,11-10-2023
27-06-2021,32,WI,32,Wisconsin,Category H,11-10-2023
14-10-2019,91,WY,83,Wyoming,Category I,11-10-2023
29-03-2021,3,NC,0,North Carolina,Category B,11-10-2023
19-11-2021,100,AL,104,Alabama,Category C,11-10-2023
20-02-2019,24,MN,20,Minnesota,Category E,11-10-2023
17-02-2020,8,ID,1,Idaho,Category I,11-10-2023
07-08-2021,93,MA,97,Massachusetts,Category J,11-10-2023
24-10-2019,99,OH,109,Ohio,Category E,11-10-2023
13-06-2021,69,NC,60,North Carolina,Category H,11-10-2023
22-04-2019,98,DE,104,Delaware,Category H,11-10-2023
28-03-2019,55,MT,47,Montana,Category A,11-10-2023
05-10-2019,16,SC,21,South Carolina,Category A,11-10-2023
17-11-2020,69,AZ,74,Arizona,Category B,11-10-2023
10-12-2021,71,VT,72,Vermont,Category E,11-10-2023
21-07-2020,91,PA,87,Pennsylvania,Category E,11-10-2023
25-07-2020,96,VT,101,Vermont,Category D,11-10-2023
27-11-2021,68,VA,73,Virginia,Category C,11-10-2023
17-06-2020,73,ME,72,Maine,Category F,11-10-2023
28-03-2019,86,LA,90,Louisiana,Category C,11-10-2023
02-07-2021,55,VT,45,Vermont,Category D,11-10-2023
24-10-2019,80,MA,77,Massachusetts,Category C,11-10-2023
05-09-2019,7,ND,9,North Dakota,Category C,11-10-2023
06-08-2020,14,CO,11,Colorado,Category J,11-10-2023
11-11-2019,97,CT,104,Connecticut,Category G,11-10-2023
12-11-2019,54,NE,51,Nebraska,Category G,11-10-2023
13-08-2019,53,CA,57,California,Category E,11-10-2023
17-12-2020,43,CO,53,Colorado,Category F,11-10-2023
26-12-2020,13,NH,8,New Hampshire,Category F,11-10-2023
01-02-2019,44,DE,54,Delaware,Category D,11-10-2023
24-04-2020,82,KS,87,Kansas,Category I,11-10-2023
09-04-2021,19,NM,11,New Mexico,Category I,11-10-2023
22-05-2019,16,UT,21,Utah,Category I,11-10-2023
15-04-2020,68,VA,75,Virginia,Category J,11-10-2023
31-07-2019,16,ND,25,North Dakota,Category J,11-10-2023
04-12-2020,1,NC,2,North Carolina,Category C,11-10-2023
15-02-2019,37,FL,36,Florida,Category I,11-10-2023
11-09-2019,9,AL,9,Alabama,Category I,11-10-2023
27-06-2021,25,AL,34,Alabama,Category E,11-10-2023
21-07-2021,18,VT,13,Vermont,Category A,11-10-2023
14-12-2020,71,DE,73,Delaware,Category B,11-10-2023
09-05-2021,87,NJ,88,New Jersey,Category D,11-10-2023
02-06-2021,24,CO,33,Colorado,Category J,11-10-2023
05-12-2020,24,WY,23,Wyoming,Category B,11-10-2023
30-11-2021,31,HI,27,Hawaii,Category G,11-10-2023
14-11-2020,61,AZ,51,Arizona,Category D,11-10-2023
28-10-2021,71,VA,64,Virginia,Category I,11-10-2023
31-07-2021,18,WV,10,West Virginia,Category I,11-10-2023
19-12-2021,27,NM,26,New Mexico,Category J,11-10-2023
10-10-2021,85,OH,92,Ohio,Category A,11-10-2023
23-04-2019,32,VA,30,Virginia,Category A,11-10-2023
14-04-2021,26,AK,30,Alaska,Category C,11-10-2023
05-03-2020,39,AZ,35,Arizona,Category C,11-10-2023
24-08-2020,1,NJ,0,New Jersey,Category E,11-10-2023
14-08-2019,46,UT,39,Utah,Category J,11-10-2023
21-11-2020,28,WY,36,Wyoming,Category J,11-10-2023
24-10-2021,50,OH,58,Ohio,Category I,11-10-2023
07-07-2019,25,TX,23,Texas,Category B,11-10-2023
09-03-2020,73,NY,70,New York,Category I,11-10-2023
21-03-2020,9,ID,7,Idaho,Category H,11-10-2023
14-09-2021,30,MI,21,Michigan,Category B,11-10-2023
01-03-2020,51,GA,54,Georgia,Category D,11-10-2023
22-06-2021,59,AK,69,Alaska,Category A,11-10-2023
02-03-2020,70,CA,75,California,Category A,11-10-2023
27-11-2019,56,RI,59,Rhode Island,Category H,11-10-2023
17-07-2021,30,ND,29,North Dakota,Category F,11-10-2023
23-02-2020,57,NH,50,New Hampshire,Category I,11-10-2023
29-07-2019,3,AZ,2,Arizona,Category D,11-10-2023
01-12-2021,32,TX,26,Texas,Category H,11-10-2023
31-07-2021,20,PA,24,Pennsylvania,Category H,11-10-2023
27-07-2020,70,SD,64,South Dakota,Category D,11-10-2023
21-02-2019,70,NM,67,New Mexico,Category A,11-10-2023
13-06-2019,68,MA,65,Massachusetts,Category H,11-10-2023
18-05-2020,20,OR,23,Oregon,Category A,11-10-2023
08-06-2020,82,HI,90,Hawaii,Category B,11-10-2023
14-06-2021,24,KY,20,Kentucky,Category C,11-10-2023
03-12-2020,73,IL,74,Illinois,Category B,11-10-2023
07-04-2019,99,AZ,103,Arizona,Category J,11-10-2023
27-03-2021,61,AZ,71,Arizona,Category G,11-10-2023
10-10-2019,36,ND,38,North Dakota,Category E,11-10-2023
09-11-2019,49,LA,45,Louisiana,Category A,11-10-2023
17-10-2020,92,MO,100,Missouri,Category D,11-10-2023
16-03-2021,34,CA,25,California,Category G,11-10-2023
21-06-2021,83,CO,89,Colorado,Category E,11-10-2023
17-05-2020,76,WA,67,Washington,Category B,11-10-2023
28-11-2019,54,WI,58,Wisconsin,Category D,11-10-2023
05-02-2020,14,AR,18,Arkansas,Category E,11-10-2023
30-04-2021,92,IN,89,Indiana,Category C,11-10-2023
03-05-2020,84,OR,89,Oregon,Category G,11-10-2023
29-04-2020,11,GA,11,Georgia,Category G,11-10-2023
06-06-2021,20,MD,10,Maryland,Category G,11-10-2023
04-06-2019,68,MA,65,Massachusetts,Category G,11-10-2023
19-09-2021,71,AL,74,Alabama,Category A,11-10-2023
28-10-2021,57,NH,49,New Hampshire,Category J,11-10-2023
29-10-2020,55,HI,54,Hawaii,Category C,11-10-2023
21-02-2021,83,UT,88,Utah,Category I,11-10-2023
13-03-2019,21,NJ,20,New Jersey,Category A,11-10-2023
20-05-2021,45,HI,47,Hawaii,Category J,11-10-2023
05-11-2021,49,WV,39,West Virginia,Category A,11-10-2023
30-09-2021,43,SD,41,South Dakota,Category E,11-10-2023
06-06-2020,68,CT,63,Connecticut,Category I,11-10-2023
06-06-2021,13,WY,22,Wyoming,Category C,11-10-2023
22-01-2020,53,IL,56,Illinois,Category G,11-10-2023
25-11-2020,72,AL,76,Alabama,Category A,11-10-2023
29-12-2021,63,NH,68,New Hampshire,Category D,11-10-2023
26-03-2021,86,FL,95,Florida,Category A,11-10-2023
03-04-2019,91,WV,82,West Virginia,Category I,11-10-2023
03-10-2020,61,NH,64,New Hampshire,Category C,11-10-2023
13-10-2019,59,TX,66,Texas,Category C,11-10-2023
19-10-2021,100,MS,101,Mississippi,Category D,11-10-2023
16-03-2020,46,SC,41,South Carolina,Category F,11-10-2023
20-05-2020,8,MA,1,Massachusetts,Category A,11-10-2023
08-11-2020,38,NJ,37,New Jersey,Category C,11-10-2023
30-06-2019,44,AL,36,Alabama,Category D,11-10-2023
20-04-2021,20,NH,28,New Hampshire,Category B,11-10-2023
10-03-2020,13,VT,8,Vermont,Category B,11-10-2023
02-08-2020,32,NY,42,New York,Category A,11-10-2023
15-08-2021,43,TN,37,Tennessee,Category E,11-10-2023
11-10-2019,66,NC,60,North Carolina,Category J,11-10-2023
08-08-2019,51,MI,45,Michigan,Category C,11-10-2023
21-08-2020,37,NM,39,New Mexico,Category B,11-10-2023
19-09-2021,49,ME,55,Maine,Category E,11-10-2023
13-12-2020,45,LA,45,Louisiana,Category C,11-10-2023
01-01-2020,8,MS,1,Mississippi,Category F,11-10-2023
07-06-2021,36,DE,46,Delaware,Category F,11-10-2023
10-10-2021,34,SD,43,South Dakota,Category H,11-10-2023
20-11-2020,25,WV,31,West Virginia,Category J,11-10-2023
17-02-2021,27,NJ,20,New Jersey,Category I,11-10-2023
27-10-2019,11,SC,13,South Carolina,Category C,11-10-2023
05-04-2019,96,VA,95,Virginia,Category J,11-10-2023
01-02-2021,12,AR,3,Arkansas,Category D,11-10-2023
25-03-2020,25,SD,20,South Dakota,Category E,11-10-2023
24-04-2019,2,MS,0,Mississippi,Category A,11-10-2023
12-05-2020,47,WA,50,Washington,Category I,11-10-2023
18-06-2019,59,OH,54,Ohio,Category E,11-10-2023
23-10-2019,3,MT,0,Montana,Category E,11-10-2023
13-03-2021,93,MA,86,Massachusetts,Category A,11-10-2023
23-01-2021,33,UT,36,Utah,Category J,11-10-2023
13-09-2019,89,NM,82,New Mexico,Category E,11-10-2023
29-09-2020,56,ND,60,North Dakota,Category G,11-10-2023
06-03-2019,32,HI,38,Hawaii,Category D,11-10-2023
25-07-2019,14,SC,13,South Carolina,Category F,11-10-2023
21-10-2021,94,SD,104,South Dakota,Category G,11-10-2023
07-12-2020,3,ID,0,Idaho,Category J,11-10-2023
24-03-2019,95,RI,104,Rhode Island,Category G,11-10-2023
30-01-2021,78,KS,82,Kansas,Category D,11-10-2023
16-02-2020,91,VT,82,Vermont,Category F,11-10-2023
14-09-2020,42,AZ,42,Arizona,Category F,11-10-2023
29-10-2020,23,SC,30,South Carolina,Category E,11-10-2023
27-03-2020,11,RI,3,Rhode Island,Category G,11-10-2023
10-08-2021,19,IN,13,Indiana,Category H,11-10-2023
01-03-2019,10,CO,9,Colorado,Category H,11-10-2023
12-10-2020,69,CT,69,Connecticut,Category G,11-10-2023
22-08-2021,50,NC,43,North Carolina,Category E,11-10-2023
16-03-2019,5,ID,13,Idaho,Category H,11-10-2023
16-09-2021,65,DE,65,Delaware,Category H,11-10-2023
20-02-2021,43,NV,33,Nevada,Category E,11-10-2023
19-07-2021,40,LA,48,Louisiana,Category A,11-10-2023
24-06-2020,59,IA,59,Iowa,Category F,11-10-2023
26-06-2021,9,IN,19,Indiana,Category J,11-10-2023
05-01-2021,68,NM,76,New Mexico,Category D,11-10-2023
30-04-2019,83,PA,92,Pennsylvania,Category F,11-10-2023
24-12-2020,88,IN,86,Indiana,Category C,11-10-2023
11-06-2021,46,TX,49,Texas,Category A,11-10-2023
28-05-2019,11,SC,21,South Carolina,Category F,11-10-2023
14-01-2019,67,SD,71,South Dakota,Category B,11-10-2023
01-12-2021,28,TN,30,Tennessee,Category H,11-10-2023
12-02-2020,30,NE,20,Nebraska,Category D,11-10-2023
09-02-2019,67,IL,75,Illinois,Category G,11-10-2023
15-01-2019,42,SC,38,South Carolina,Category F,11-10-2023
22-05-2020,63,MO,58,Missouri,Category F,11-10-2023
19-02-2021,28,VA,18,Virginia,Category E,11-10-2023
24-01-2021,81,NM,81,New Mexico,Category I,11-10-2023
08-03-2021,37,WA,41,Washington,Category D,11-10-2023
17-04-2020,47,KS,44,Kansas,Category A,11-10-2023
18-08-2020,19,KY,26,Kentucky,Category G,11-10-2023
06-12-2019,42,HI,42,Hawaii,Category A,11-10-2023
07-05-2019,39,IN,39,Indiana,Category H,11-10-2023
14-07-2021,67,VA,66,Virginia,Category E,11-10-2023
14-08-2021,79,NH,70,New Hampshire,Category E,11-10-2023
30-07-2019,80,VA,87,Virginia,Category C,11-10-2023
08-01-2021,18,NE,25,Nebraska,Category J,11-10-2023
07-03-2021,46,WA,44,Washington,Category C,11-10-2023
23-12-2021,43,NH,36,New Hampshire,Category G,11-10-2023
11-02-2019,55,AZ,54,Arizona,Category C,11-10-2023
01-03-2021,94,PA,92,Pennsylvania,Category C,11-10-2023
23-06-2020,45,NE,36,Nebraska,Category A,11-10-2023
17-09-2020,95,NV,86,Nevada,Category G,11-10-2023
23-05-2019,8,RI,17,Rhode Island,Category G,11-10-2023
27-12-2019,9,IA,3,Iowa,Category I,11-10-2023
08-04-2019,39,MO,42,Missouri,Category E,11-10-2023
19-07-2019,91,AR,85,Arkansas,Category G,11-10-2023
09-05-2021,77,WI,84,Wisconsin,Category E,11-10-2023
15-03-2019,38,LA,42,Louisiana,Category C,11-10-2023
14-06-2021,2,NM,5,New Mexico,Category H,11-10-2023
24-11-2019,59,NC,63,North Carolina,Category C,11-10-2023
22-09-2020,36,ND,46,North Dakota,Category D,11-10-2023
04-05-2021,71,SD,64,South Dakota,Category I,11-10-2023
23-06-2021,57,LA,49,Louisiana,Category C,11-10-2023
06-03-2020,56,MN,58,Minnesota,Category I,11-10-2023
08-01-2019,89,MA,82,Massachusetts,Category E,11-10-2023
19-07-2019,80,DE,76,Delaware,Category A,11-10-2023
15-05-2019,62,ME,59,Maine,Category J,11-10-2023
06-11-2020,68,SD,62,South Dakota,Category C,11-10-2023
01-11-2019,30,HI,22,Hawaii,Category B,11-10-2023
19-10-2019,45,MT,38,Montana,Category F,11-10-2023
08-11-2019,68,MS,59,Mississippi,Category C,11-10-2023
17-07-2019,15,CO,15,Colorado,Category B,11-10-2023
08-01-2019,21,WY,18,Wyoming,Category D,11-10-2023
04-04-2019,68,OH,69,Ohio,Category H,11-10-2023
17-02-2021,84,CA,94,California,Category H,11-10-2023
29-03-2020,72,AR,75,Arkansas,Category G,11-10-2023
13-07-2019,15,AL,12,Alabama,Category F,11-10-2023
30-08-2019,4,IA,6,Iowa,Category I,11-10-2023
10-02-2019,32,MO,36,Missouri,Category H,11-10-2023
22-02-2020,59,UT,65,Utah,Category G,11-10-2023
06-01-2019,99,WA,92,Washington,Category H,11-10-2023
20-08-2019,56,MD,46,Maryland,Category C,11-10-2023
25-07-2021,51,MA,57,Massachusetts,Category D,11-10-2023
05-01-2021,71,KY,73,Kentucky,Category F,11-10-2023
13-09-2021,93,WY,87,Wyoming,Category A,11-10-2023
02-12-2021,35,MO,30,Missouri,Category G,11-10-2023
07-10-2021,99,CA,104,California,Category G,11-10-2023
12-11-2021,76,WA,67,Washington,Category B,11-10-2023
16-03-2020,47,OH,40,Ohio,Category D,11-10-2023
19-03-2021,13,SC,20,South Carolina,Category H,11-10-2023
03-06-2021,98,OH,98,Ohio,Category C,11-10-2023
08-04-2019,24,IL,23,Illinois,Category I,11-10-2023
13-10-2020,1,DE,7,Delaware,Category F,11-10-2023
02-03-2020,72,UT,68,Utah,Category A,11-10-2023
06-11-2021,57,MO,48,Missouri,Category B,11-10-2023
19-01-2021,49,TN,52,Tennessee,Category E,11-10-2023
20-05-2021,63,OR,60,Oregon,Category H,11-10-2023
14-05-2021,92,OH,83,Ohio,Category H,11-10-2023
10-02-2021,65,NC,69,North Carolina,Category H,11-10-2023
18-02-2021,100,CO,93,Colorado,Category G,11-10-2023
12-11-2021,65,UT,66,Utah,Category G,11-10-2023
12-08-2021,78,DE,73,Delaware,Category H,11-10-2023
28-05-2021,12,AL,18,Alabama,Category D,11-10-2023
16-05-2020,10,NV,8,Nevada,Category F,11-10-2023
24-10-2020,81,NV,87,Nevada,Category F,11-10-2023
20-04-2019,32,FL,24,Florida,Category F,11-10-2023
29-08-2019,32,IA,23,Iowa,Category A,11-10-2023
20-06-2020,99,VT,98,Vermont,Category F,11-10-2023
25-12-2021,70,NM,77,New Mexico,Category G,11-10-2023
06-02-2021,41,MN,40,Minnesota,Category C,11-10-2023
16-07-2019,37,FL,31,Florida,Category B,11-10-2023
29-08-2021,24,MT,23,Montana,Category C,11-10-2023
10-02-2021,49,OK,42,Oklahoma,Category C,11-10-2023
24-12-2019,91,CA,81,California,Category C,11-10-2023
08-11-2019,28,KY,28,Kentucky,Category B,11-10-2023
25-03-2019,22,ND,26,North Dakota,Category B,11-10-2023
15-07-2019,90,WV,82,West Virginia,Category A,11-10-2023
25-03-2021,84,GA,84,Georgia,Category G,11-10-2023
04-06-2019,23,LA,27,Louisiana,Category F,11-10-2023
11-05-2019,88,MN,81,Minnesota,Category A,11-10-2023
24-03-2019,81,WI,78,Wisconsin,Category D,11-10-2023
24-01-2019,37,AL,47,Alabama,Category A,11-10-2023
11-12-2020,100,MD,110,Maryland,Category I,11-10-2023
25-11-2020,86,NV,93,Nevada,Category H,11-10-2023
18-07-2019,79,ME,72,Maine,Category E,11-10-2023
23-07-2021,30,TN,26,Tennessee,Category F,11-10-2023
09-12-2019,6,OH,0,Ohio,Category H,11-10-2023
10-11-2020,84,ND,76,North Dakota,Category H,11-10-2023
01-09-2020,87,CA,81,California,Category D,11-10-2023
19-04-2020,63,WY,73,Wyoming,Category C,11-10-2023
23-01-2019,20,CO,26,Colorado,Category B,11-10-2023
07-05-2021,82,ND,79,North Dakota,Category A,11-10-2023
07-01-2019,94,MN,88,Minnesota,Category E,11-10-2023
06-07-2019,84,RI,76,Rhode Island,Category E,11-10-2023
22-01-2021,1,NV,2,Nevada,Category D,11-10-2023
29-07-2020,37,MS,29,Mississippi,Category E,11-10-2023
22-04-2021,38,ME,34,Maine,Category B,11-10-2023
08-10-2020,12,WV,21,West Virginia,Category I,11-10-2023
31-01-2021,26,ME,36,Maine,Category H,11-10-2023
05-01-2020,37,OK,36,Oklahoma,Category C,11-10-2023
20-02-2020,55,SD,54,South Dakota,Category I,11-10-2023
21-11-2020,12,MT,14,Montana,Category E,11-10-2023
25-12-2021,89,WA,79,Washington,Category J,11-10-2023
27-05-2021,25,AZ,18,Arizona,Category A,11-10-2023
24-11-2019,78,TX,85,Texas,Category B,11-10-2023
31-08-2019,9,MI,11,Michigan,Category C,11-10-2023
26-10-2019,62,KS,63,Kansas,Category I,11-10-2023
31-03-2021,4,LA,3,Louisiana,Category E,11-10-2023
25-11-2019,66,OK,56,Oklahoma,Category J,11-10-2023
09-10-2021,74,IL,71,Illinois,Category I,11-10-2023
26-08-2021,94,MT,85,Montana,Category G,11-10-2023
13-07-2019,45,CA,54,California,Category J,11-10-2023
28-01-2021,71,VA,72,Virginia,Category G,11-10-2023
